word,phonetic,meaning,category,example,exampleZh
abortion,,人工流产、堕胎,社会,,
abuse of power,,滥用职权,社会,,
academic society,,学术社团,社会,,
altruism,,利他主义、利他,社会,,
an aging population,,人口老龄化,社会,,
asylum,,庇护,社会,,
benevolent,,乐善好施的,社会,,
a benevolent fund,,施善基金,社会,,
a charitable foundation,,慈善基金,社会,,
eleemosynary relief,,施舍性的救济,社会,,
philanthropic contributions,,慈善捐献,社会,,
bigamy,,重婚,社会,,
birth rate,,人口出生率,社会,,
burglar-proof door/antitheft door,,防盗门,社会,,
casuistry,,判断是非,社会,,
chain effect/domino effect,,连锁反应、多米诺骨牌效应,社会,,
charitable,,慈善的、仁慈的,社会,,
civic morality,,社会公德,社会,,
community,,社区,社会,,
community service,,社区服务,社会,,
corruption,,贪污；贪污腐败,社会 / 中国特色政治,,
court of ethics,,道德法庭,社会,,
crime,,犯罪,社会,,
arson,,纵火、纵火罪,社会,,
crimes committed by Mafia-like gangs,,黑恶势力犯罪,社会,,
drug rehabilitation centers,,戒毒所,社会,,
drug traffickers,,毒枭,社会,,
drug-related crimes,,毒品犯罪,社会,,
embezzlement,,盗用公款,社会,,
juvenile delinquency,,青少年犯罪,社会,,
organized crime,,有组织犯罪,社会,,
robbery,,抢劫,社会,,
sexual harassment,,性骚扰,社会,,
shop-lifting,,在商店行窃,社会,,
smuggling,,走私,社会,,
theft,,偷窃行为,社会,,
"demography, larithmics",,人口学、人口统计学,社会,,
size,,数量,社会,,
growth,,增长情况,社会,,
density,,密度,社会,,
distribution,,分布；流通分配,社会 / 经济与改革,,
social demography,,社会人口学,社会,,
economic demography,,经济人口学,社会,,
DINK,,丁克一族,社会,,
discrimination,,歧视,社会,,
age discrimination,,年龄歧视,社会,,
discrimination against women,,歧视妇女,社会,,
feminism,,男女平等主义、女权运动,社会,,
feminist movement,,女权运动,社会,,
femininity,,妇女特质、柔弱型、温柔,社会,,
gender/sexual discrimination,,性别歧视,社会,,
job discrimination,,工作歧视,社会,,
male chauvinism,,大男子主义、男权主义思想,社会,,
masculinity,,男性阳刚之气,社会,,
disparity,,不一致、不同、不等,社会,,
drug abuse,,吸毒,社会,,
egalitarian,,主张人人平等的、平等主义,社会,,
emotion quotient,,情商,社会,,
forum,,论坛,社会,,
favorable location,,地理优势,社会,,
family,,家庭,社会,,
immediate family,,直接家庭成员,社会,,
extended family,,大家庭、扩大的家庭,社会,,
family tree,,家谱、家谱图,社会,,
relative,,亲属、亲戚,社会,,
foster father,,养父,社会,,
legal guardian,,法定监护人,社会,,
stepmother,,继母,社会,,
in-law,,姻亲,社会,,
ex-husband,,前夫,社会,,
adopted daughter,,养女,社会,,
nephew,,侄子、外甥,社会,,
niece,,侄女、外甥女,社会,,
cousin,,堂兄弟姊妹、表兄弟姊妹,社会,,
gambling,,赌博,社会,,
gay,,同性恋者、同性恋者的,社会,,
grant-in-aid,,补助金、赠款,社会,,
geographic location,,地理位置,社会,,
geographic advantage,,地理优势,社会,,
grey income,,灰色收入,社会,,
hardened professional,,惯犯,社会,,
have an extramarital affair/ have an ultra-marriage affairs,,婚外恋,社会,,
hedonism,,享乐主义,社会,,
home for the aged/ seniors’ home,,敬老院,社会,,
illiteracy,,文盲,社会,,
income disparity,,收入分化、贫富分化；贫富悬殊,社会 / 经济与改革,,
infant mortality,,婴儿死亡率,社会,,
IPR/ intellectual property rights,,知识产权,社会,,
piracy,,非法翻印、盗版,社会,,
bootleg,,盗版,社会,,
copyright royalty,,版税、版权费,社会,,
fight against illegal publication,,打非,社会,,
underground publications,,地下出版物,社会,,
anti-fake label,,防伪标识,社会,,
law of the jungle,,弱肉强食法则,社会,,
lawsuit,,诉讼,社会,,
lawyer,,律师,社会,,
attorney,,律师,社会,,
appeal to a higher court,,上诉,社会,,
charge,,控告,社会,,
drop a lawsuit,,撤销控告,社会,,
court of appeals,,上诉法庭,社会,,
solicitor,,初级律师，只能在低级法庭出庭的律师,社会,,
suspect,,犯罪嫌疑人,社会,,
defendant,,被告,社会,,
plaintiff,,起诉人、原告,社会,,
capital punishment,,死刑,社会,,
guilty,,有罪,社会,,
verdict,,裁决、判决书,社会,,
serve one’s term in prison,,服刑,社会,,
bail,,保释,社会,,
fine,,罚款,社会,,
jury,,陪审团,社会,,
juror,,陪审员,社会,,
life sentence,,判处无期徒刑,社会,,
notary,,公证人,社会,,
notarization,,公证,社会,,
make public expose,,曝光,社会,,
material/spiritual culture,,物质、精神文化,社会,,
minimum wage,,最低工资,社会,,
money worship,,拜金主义,社会,,
morality,,道德,社会,,
Pandora’s box,,潘多拉魔盒,社会,,
pluralism,,多元文化论,社会,,
polarization of rich and poor,,贫富悬殊,社会,,
popularity rate,,普及率,社会,,
poverty alleviation,,扶贫,社会,,
poverty relief office,,扶贫办公室,社会,,
racism,,种族主义,社会,,
acculturation,,文化适应,社会,,
assimilation,,同化、同化作用,社会,,
anti-racism education,,反种族主义教育,社会,,
colonialism,,殖民主义,社会,,
ethnic cleansing,,种族清理,社会,,
ethnic group,,同种、同文化之民族,社会,,
ethnocentrism,,民族优越感,社会,,
race,,人种,社会,,
stereotype,,成见,社会,,
genocide,,有计划的灭种和屠杀,社会,,
anti-Semite,,反犹分子、反犹分子的,社会,,
racial discrimination,,种族歧视,社会,,
bias,,偏见,社会,,
reinstatement,,复员、复职,社会,,
sabotage,,阴谋破坏、怠工、破坏,社会,,
single-parent family,,单亲家庭,社会,,
social evils,,社会丑恶现象,社会,,
social welfare,,社会福利,社会,,
food stamps,,食品救济券,社会,,
foreign aid,,外援,社会,,
medicaid,,医疗补助,社会,,
medicare and medicaid,,医保（保健医疗制度和医疗补助制度）,社会,,
social security,,社会保障,社会,,
urban legend,,都市传奇,社会,,
values,,价值观,社会,,
vicious circle,,恶性循环,社会,,
virtuous circle,,良性循环,社会,,
views on life,,人生观,社会,,
way of life/ life style,,生活方式,社会,,
patriotic movement,,爱国运动,社会,,
AA,,制 Dutch treatment/ go Dutch,社会,,
A-share market,,股市场,社会,,
patriotic democratic personages,,爱国民主人士,社会,,
patriotic united front,,爱国统一战线,社会,,
